"","Measures","Mean10Folds"
"1","accuracy",0.942172870599619
"2","average-precision",0.964688036559568
"3","clp",0
"4","coverage",0.113583198155895
"5","F1",0.945396852500071
"6","hamming-loss",0.0289135647001907
"7","macro-AUC",0.939794093428314
"8","macro-F1",0.881537719338607
"9","macro-precision",0.878463548232738
"10","macro-recall",0.901130054585937
"11","margin-loss",0.105853183072939
"12","micro-AUC",0.964199822866139
"13","micro-F1",0.943059736769478
"14","micro-precision",0.936129083026974
"15","micro-recall",0.95028742992117
"16","mlp",0
"17","one-error",0.057808275705057
"18","precision",0.943134409061157
"19","ranking-loss",0.0351241379473899
"20","recall",0.950883277839438
"21","subset-accuracy",0.932500924898261
"22","wlp",0.025
